0,0.046005
0.10101,0.096878
0.20202,0.063166
0.30303,0.070621
0.40404,0.063907
0.50505,0.082514
0.60606,0.067938
0.70707,0.20464
0.80808,0.0094528
0.90909,-0.022331
1.0101,0.01604
1.1111,0.021191
1.2121,0.05706
1.3131,0.073298
1.4141,0.073878
1.5152,0.11506
1.6162,0.11075
1.7172,0.13226
1.8182,0.18713
1.9192,0.16301
2.0202,0.04145
2.1212,-0.006957
2.2222,0.15859
2.3232,0.02584
2.4242,0.12522
2.5253,0.12805
2.6263,0.24215
2.7273,0.132
2.8283,0.11489
2.9293,0.15699
3.0303,0.16258
3.1313,0.15903
3.2323,0.13048
3.3333,0.10531
3.4343,0.18794
3.5354,0.11081
3.6364,0.13233
3.7374,0.25664
3.8384,0.17543
3.9394,0.19582
4.0404,0.25444
4.1414,0.20121
4.2424,0.27461
4.3434,0.21297
4.4444,0.2881
4.5455,0.27632
4.6465,0.24175
4.7475,0.21682
4.8485,0.2158
4.9495,0.26245
5.0505,0.26219
5.1515,0.27195
5.2525,0.34999
5.3535,0.29449
5.4545,0.37526
5.5556,0.30032
5.6566,0.38449
5.7576,0.31882
5.8586,0.36294
5.9596,0.41195
6.0606,0.35211
6.1616,0.36039
6.2626,0.49206
6.3636,0.44911
6.4646,0.3897
6.5657,0.45357
6.6667,0.413
6.7677,0.47623
6.8687,0.52171
6.9697,0.38071
7.0707,0.52244
7.1717,0.55397
7.2727,0.49354
7.3737,0.58858
7.4747,0.51913
7.5758,0.4596
7.6768,0.42185
7.7778,0.5249
7.8788,0.58726
7.9798,0.57743
8.0808,0.59216
8.1818,0.55249
8.2828,0.59834
8.3838,0.51894
8.4848,0.57252
8.5859,0.57914
8.6869,0.65554
8.7879,0.63822
8.8889,0.59042
8.9899,0.65688
9.0909,0.6319
9.1919,0.64198
9.2929,0.72732
9.3939,0.69845
9.4949,0.72123
9.596,0.7539
9.697,0.72697
9.798,0.75361
9.899,0.76818
10,0.80037
